day_pt,platform,participators,interval_start_timestamp
2026-01-21T00:00:00+00:00,Desktop Only,0,2026-01-21T00:00:00+00:00
2026-01-21T00:00:00+00:00,Desktop or Mobile,485,2026-01-21T00:00:00+00:00
2026-01-21T00:00:00+00:00,Mobile Only,463,2026-01-21T00:00:00+00:00
2026-01-21T00:00:00+00:00,Other,0,2026-01-21T00:00:00+00:00
