day_pt,country_code,participators,interval_start_timestamp
2026-01-21T00:00:00+00:00,NG,349,2026-01-21T00:00:00+00:00
2026-01-21T00:00:00+00:00,Other,137,2026-01-21T00:00:00+00:00
