day_pt,total_membership,interval_start_timestamp
2025-12-18T00:00:00+00:00,2977,2025-12-18T00:00:00+00:00
2025-12-19T00:00:00+00:00,2974,2025-12-19T00:00:00+00:00
2025-12-20T00:00:00+00:00,2979,2025-12-20T00:00:00+00:00
2025-12-21T00:00:00+00:00,2999,2025-12-21T00:00:00+00:00
2025-12-22T00:00:00+00:00,3002,2025-12-22T00:00:00+00:00
2025-12-23T00:00:00+00:00,3000,2025-12-23T00:00:00+00:00
2025-12-24T00:00:00+00:00,3001,2025-12-24T00:00:00+00:00
2025-12-25T00:00:00+00:00,3002,2025-12-25T00:00:00+00:00
2025-12-26T00:00:00+00:00,3004,2025-12-26T00:00:00+00:00
2025-12-27T00:00:00+00:00,3003,2025-12-27T00:00:00+00:00
2025-12-28T00:00:00+00:00,3004,2025-12-28T00:00:00+00:00
2025-12-29T00:00:00+00:00,3005,2025-12-29T00:00:00+00:00
2025-12-30T00:00:00+00:00,3005,2025-12-30T00:00:00+00:00
2025-12-31T00:00:00+00:00,3005,2025-12-31T00:00:00+00:00
2026-01-01T00:00:00+00:00,3005,2026-01-01T00:00:00+00:00
2026-01-02T00:00:00+00:00,3008,2026-01-02T00:00:00+00:00
2026-01-03T00:00:00+00:00,3004,2026-01-03T00:00:00+00:00
2026-01-04T00:00:00+00:00,3001,2026-01-04T00:00:00+00:00
2026-01-05T00:00:00+00:00,2998,2026-01-05T00:00:00+00:00
2026-01-06T00:00:00+00:00,3000,2026-01-06T00:00:00+00:00
2026-01-07T00:00:00+00:00,3001,2026-01-07T00:00:00+00:00
2026-01-08T00:00:00+00:00,2998,2026-01-08T00:00:00+00:00
2026-01-09T00:00:00+00:00,3001,2026-01-09T00:00:00+00:00
2026-01-10T00:00:00+00:00,3000,2026-01-10T00:00:00+00:00
2026-01-11T00:00:00+00:00,2999,2026-01-11T00:00:00+00:00
2026-01-12T00:00:00+00:00,2996,2026-01-12T00:00:00+00:00
2026-01-13T00:00:00+00:00,2995,2026-01-13T00:00:00+00:00
