day_pt,discovery_joins,invites,vanity_joins,hubs_joins,bot_joins,integration_joins,other_joins,total_joins,interval_start_timestamp
2025-12-03T00:00:00+00:00,0,3,0,0,0,0,0,3,2025-12-03T00:00:00+00:00
2025-12-10T00:00:00+00:00,0,10,0,0,0,0,2,12,2025-12-10T00:00:00+00:00
2025-12-17T00:00:00+00:00,0,5,3,0,0,0,0,8,2025-12-17T00:00:00+00:00
2025-12-24T00:00:00+00:00,0,1,3,0,0,0,0,4,2025-12-24T00:00:00+00:00
2025-12-31T00:00:00+00:00,3,0,3,0,0,0,0,6,2025-12-31T00:00:00+00:00
2026-01-07T00:00:00+00:00,0,0,1,0,0,0,0,1,2026-01-07T00:00:00+00:00
2026-01-14T00:00:00+00:00,0,1,7,0,0,0,0,8,2026-01-14T00:00:00+00:00
2026-01-21T00:00:00+00:00,2,3,8,0,0,0,0,13,2026-01-21T00:00:00+00:00
