,,,,,,,,,,,,,,,,,,,,,,,,,
,PLAYER NAME,,,CLAN NAME,,,TOTAL APPEARANCE,,,PERFORMANCE ( KILLS ),,,,,,,,,,,,,,,
RANK,PROFESSIONAL,IN - GAME,,TEAM NAME,CLAN ,,MATCHES,EVENTS,,PER MATCH,PER EVENTS,TOTAL KILLS,,,,,,,,,,,,,
52,STALKERYT,STALKER YT,,OLD TAKERS,LEGIONS,,8,3,,5.25,14,42,,,,,,,,,,,,,
53,HORUSKI,SATEVA,,RAZE ROYALS,,,9,3,,4.555555556,13.66666667,41,,,,,,,,,,,,,
54,LANCE,LANCE,,ZEN HITMEN,,,15,5,,2.733333333,8.2,41,,,,,,,,,,,,,
55,KOSHER,KOSHER,,RAZE MATRIX,,,15,5,,2.666666667,8,40,,,,,,,,,,,,,
56,IRIS,IRIS.KAI,,KYZON ESPORT,,,10,4,,4,10,40,,,,,,,,,,,,,
57,SUS KELVIN,XIII,,PRIMAL PACKS,,,12,4,,3.333333333,10,40,,,,,,,,,,,,,
58,AKARA HIMSELF,JOJO,,FEARLESS WARRIORS,FEARLESS WARRIORS,,15,5,,2.666666667,8,40,,,,,,,,,,,,,
59,,FEEZYY YT,,AGILE ESPORTS,,,12,4,,3.333333333,10,40,,,,,,,,,,,,,
60,DARA,STIMRUSKI,,PREACHER ESPORT,,,12,4,,3.25,9.75,39,,,,,,,,,,,,,
61,KAGE,KAGE,,4KT SHADOW HUNTERS,,,15,5,,2.6,7.8,39,,,,,,,,,,,,,
62,SLY,SLYY,,PREACHER ESPORT,,,9,3,,4.222222222,12.66666667,38,,,,,,,,,,,,,
63,BERLIN,Rz?????,,RAZE ROYALS,,,6,2,,6.333333333,19,38,,,,,,,,,,,,,
64,ISCO,SODIQ YT,,PARIS CHITAURI,,,10,4,,3.6,9,36,,,,,,,,,,,,,
65,LAZY,TURTLE,,AGILE RESURGENCE,AGILE ESPORT,,9,3,,4,12,36,,,,,,,,,,,,,
66,ZENOS,ZNX 99,,44 REGENTS,44 DIVISON,,11,4,,3.181818182,8.75,35,,,,,,,,,,,,,
67,OG TOM,OG TOM,,PRIMAL PACKS,,,15,5,,2.333333333,7,35,,,,,,,,,,,,,
68,PAPA YT,JABARI,,44 REGENTS,44 DIVISON,,9,3,,3.666666667,11,33,,,,,,,,,,,,,
